_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,batterymv,status
"$$MULDER,422,20:17:04,52.09401,-1.95953,19954,6,1501,20*48A7","G4AIU,g0nzo,G3ZGZ,G8DHE,PE2G,G8KNN-1,0x17,2E0KPI,HABJOE_BASE,G7BTI,G4MYS,G6GZH,DutchMillbt,F1OIL,G8ZBJ,M6GTG,2E0MXS,G0WXI,M0JCU,F5APQ,M0UPU",422,20:17:04,52.09401,-1.95953,19954,6,1501,20
"$$MULDER,423,20:17:24,52.09366,-1.95971,19969,5,1504,00*A0CE","G8KNN-1,G3ZGZ,G8DHE,PE2G,G8ZBJ,g0nzo,M0JCU,G4MYS,F5APQ,G4AIU,G8KNN,DutchMillbt,F1OIL,G7BTI,M6GTG,2E0MXS,G0WXI,G6GZH,HABJOE_BASE,M0UPU",423,20:17:24,52.09366,-1.95971,19969,5,1504,0
"$$MULDER,424,20:17:43,52.09141,-1.96089,20116,6,1505,20*F326","HABJOE_BASE,g0nzo,G3ZGZ,G8DHE,PE2G,M6GTG,G8KNN-1,0x17,G6GZH,2E0KPI,G8ZBJ,G7BTI,G4MYS,G8KNN,F1OIL,DutchMillbt,M0JCU,2E0MXS,G0WXI,G4AIU,F5APQ",424,20:17:43,52.09141,-1.96089,20116,6,1505,20
"$$MULDER,425,20:18:03,52.09057,-1.96118,20213,6,1505,00*DDCF","g0nzo,G3ZGZ,G8DHE,PE2G,G8KNN-1,0x17,G4MYS,G8ZBJ,G4AIU,G8KNN,DutchMillbt,F1OIL,G7BTI,M6GTG,2E0MXS,G0WXI,G6GZH,M0JCU,M0UPU",425,20:18:03,52.09057,-1.96118,20213,6,1505,0
"$$MULDER,426,20:18:22,52.08950,-1.96129,20304,6,1504,00*BC74","g0nzo,G3ZGZ,G8DHE,PE2G,G8KNN-1,0x17,G4MYS,G8ZBJ,G7BTI,G8KNN,F1OIL,DutchMillbt,M6GTG,2E0MXS,G0WXI,G6GZH,G4AIU,M0UPU",426,20:18:22,52.0895,-1.96129,20304,6,1504,0
"$$MULDER,427,20:18:42,52.08850,-1.96108,20401,6,1503,00*DA00","G8KNN-1,G3ZGZ,G8DHE,G7BTI,G8ZBJ,g0nzo,0x17,G4MYS,F5APQ,G6GZH,G8KNN,RevSpace,F1OIL,DutchMillbt,M6GTG,2E0MXS,G0WXI,G4AIU,HABJOE_BASE,M0UPU",427,20:18:42,52.0885,-1.96108,20401,6,1503,0
"$$MULDER,428,20:19:01,52.08781,-1.96124,20493,6,1503,00*EA30","G8KNN-1,G3ZGZ,G8DHE,G8ZBJ,G4MYS,F5APQ,G4AIU,G8KNN,RevSpace,F1OIL,DutchMillbt,M6GTG,2E0MXS,G0WXI,G6GZH,HABJOE_BASE,M0UPU",428,20:19:01,52.08781,-1.96124,20493,6,1503,0
"$$MULDER,429,20:19:20,52.08730,-1.96153,20585,6,1501,00*7861","G8KNN-1,G3ZGZ,G8DHE,DutchMillbt,g0nzo,0x17,G4MYS,F5APQ,G6GZH,G8KNN,RevSpace,F1OIL,G8ZBJ,M6GTG,2E0MXS,G0WXI,G4AIU,HABJOE_BASE,M0UPU",429,20:19:20,52.0873,-1.96153,20585,6,1501,0
"$$MULDER,430,20:19:40,52.08661,-1.96233,20679,6,1502,00*0DB6","HABJOE_BASE,G8KNN-1,G3ZGZ,G8DHE,G7BTI,g0nzo,0x17,G4MYS,G8ZBJ,M6EDF,G4AIU,G8KNN,RevSpace,F1OIL,DutchMillbt,M6GTG,2E0MXS,G0WXI,G6GZH,F5APQ,M0UPU",430,20:19:40,52.08661,-1.96233,20679,6,1502,0
"$$MULDER,431,20:19:44,52.08649,-1.96245,20693,6,1502,00*5FFC","G8KNN-1,G3ZGZ,G8DHE,G8ZBJ,0x17,G4MYS,F5APQ,G4AIU,G8KNN,RevSpace,F1OIL,DutchMillbt,M6GTG,2E0MXS,G0WXI,G6GZH,HABJOE_BASE,M0UPU",431,20:19:44,52.08649,-1.96245,20693,6,1502,0
