_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,gps_lock,satellites,temperature_internal,temperature_external,battery
"$$VR2SC,69,12:30:38,52.24712,-0.15237,94,1,8,21.3,14.5,4.9*C6CE",M6EVT,69,12:30:38,52.24712,-0.15237,94,1,8,21.3,14.5,4.9
"$$VR2SC,71,12:31:05,52.24704,-0.15239,91,1,10,21.3,14.5,4.9*46F5",M6EVT,71,12:31:05,52.24704,-0.15239,91,1,10,21.3,14.5,4.9
"$$VR2SC,72,12:31:19,52.24700,-0.15230,94,1,11,21.3,15.4,4.9*B561",M6EVT,72,12:31:19,52.247,-0.1523,94,1,11,21.3,15.4,4.9
"$$VR2SC,74,12:31:47,52.24710,-0.15232,100,1,10,21.3,14.5,4.9*4964",M6EVT,74,12:31:47,52.2471,-0.15232,100,1,10,21.3,14.5,4.9
"$$VR2SC,78,12:32:43,52.24705,-0.15227,108,1,8,21.3,15.4,4.9*DA98",M6EVT,78,12:32:43,52.24705,-0.15227,108,1,8,21.3,15.4,4.9
"$$VR2SC,80,12:33:11,52.24712,-0.15219,88,1,9,22.3,15.4,4.9*B732",M6EVT,80,12:33:11,52.24712,-0.15219,88,1,9,22.3,15.4,4.9
"$$VR2SC,81,12:33:11,52.24712,-0.15219,88,1,9,21.3,15.4,4.9*0FC9",M6EVT,81,12:33:11,52.24712,-0.15219,88,1,9,21.3,15.4,4.9
"$$VR2SC,83,12:33:38,52.24713,-0.15219,98,1,9,22.3,15.4,4.9*51A7",M6EVT,83,12:33:38,52.24713,-0.15219,98,1,9,22.3,15.4,4.9
"$$VR2SC,84,12:34:05,52.24702,-0.15222,90,1,10,22.3,15.4,4.9*FE08",M6EVT,84,12:34:05,52.24702,-0.15222,90,1,10,22.3,15.4,4.9
"$$VR2SC,85,12:34:19,52.24705,-0.15224,93,1,11,22.3,15.4,4.9*5E0B",M6EVT,85,12:34:19,52.24705,-0.15224,93,1,11,22.3,15.4,4.9
"$$VR2SC,86,12:34:33,52.24703,-0.15226,103,1,7,21.3,15.4,4.9*05DE",M6EVT,86,12:34:33,52.24703,-0.15226,103,1,7,21.3,15.4,4.9
"$$VR2SC,87,12:34:47,52.24706,-0.15227,106,3,9,21.3,15.4,4.9*AB8F",M6EVT,87,12:34:47,52.24706,-0.15227,106,3,9,21.3,15.4,4.9
"$$VR2SC,88,12:35:01,52.24707,-0.15229,106,3,10,22.3,15.4,4.9*5E03",M6EVT,88,12:35:01,52.24707,-0.15229,106,3,10,22.3,15.4,4.9
"$$VR2SC,90,12:35:29,52.24710,-0.15234,116,3,10,23.2,15.4,4.9*17C5",M6EVT,90,12:35:29,52.2471,-0.15234,116,3,10,23.2,15.4,4.9
"$$VR2SC,91,12:35:43,52.24711,-0.15235,119,3,8,22.3,15.4,4.9*DC2D",M6EVT,91,12:35:43,52.24711,-0.15235,119,3,8,22.3,15.4,4.9
"$$VR2SC,92,12:35:57,52.24706,-0.15235,119,3,8,23.2,15.4,4.9*90B9",M6EVT,92,12:35:57,52.24706,-0.15235,119,3,8,23.2,15.4,4.9
"$$VR2SC,93,12:36:11,52.24701,-0.15233,108,3,9,23.2,15.4,4.9*564F",M6EVT,93,12:36:11,52.24701,-0.15233,108,3,9,23.2,15.4,4.9
"$$VR2SC,94,12:36:25,52.24704,-0.15226,108,3,10,23.2,15.4,4.9*725D",M6EVT,94,12:36:25,52.24704,-0.15226,108,3,10,23.2,15.4,4.9
"$$VR2SC,95,12:36:39,52.24704,-0.15228,101,3,8,23.2,14.5,4.9*6FEE",M6EVT,95,12:36:39,52.24704,-0.15228,101,3,8,23.2,14.5,4.9
"$$VR2SC,96,12:36:53,52.24704,-0.15230,91,3,10,24.2,15.4,4.9*C5BB",M6EVT,96,12:36:53,52.24704,-0.1523,91,3,10,24.2,15.4,4.9
"$$VR2SC,97,12:37:07,52.24705,-0.15229,95,3,10,23.2,15.4,4.9*73ED",M6EVT,97,12:37:07,52.24705,-0.15229,95,3,10,23.2,15.4,4.9
"$$VR2SC,99,12:37:35,52.24703,-0.15236,115,3,9,23.2,15.4,4.9*98BD",M6EVT,99,12:37:35,52.24703,-0.15236,115,3,9,23.2,15.4,4.9
"$$VR2SC,100,12:37:49,52.24705,-0.15234,114,3,11,24.2,15.4,4.9*FCC0",M6EVT,100,12:37:49,52.24705,-0.15234,114,3,11,24.2,15.4,4.9
"$$VR2SC,101,12:38:03,52.24710,-0.15244,105,3,10,24.2,15.4,4.9*8449",M6EVT,101,12:38:03,52.2471,-0.15244,105,3,10,24.2,15.4,4.9
"$$VR2SC,103,12:38:31,52.24713,-0.15246,122,3,7,24.2,14.5,4.9*7A51",M6EVT,103,12:38:31,52.24713,-0.15246,122,3,7,24.2,14.5,4.9
"$$VR2SC,127,12:44:07,52.24231,-0.15274,1031,3,10,23.2,9.6,4.9*A52B",M6EVT,127,12:44:07,52.24231,-0.15274,1031,3,10,23.2,9.6,4.9
"$$VR2SC,128,12:44:21,52.24200,-0.15212,1126,3,10,23.2,9.6,4.9*D46E",M6EVT,128,12:44:21,52.242,-0.15212,1126,3,10,23.2,9.6,4.9
"$$VR2SC,129,12:44:35,52.24218,-0.15156,1224,3,10,23.2,9.6,4.9*9FA2",M6EVT,129,12:44:35,52.24218,-0.15156,1224,3,10,23.2,9.6,4.9
"$$VR2SC,130,12:44:49,52.24225,-0.15110,1309,3,10,23.2,9.6,4.9*D73C",M6EVT,130,12:44:49,52.24225,-0.1511,1309,3,10,23.2,9.6,4.9
"$$VR2SC,131,12:45:03,52.24239,-0.15077,1390,3,10,23.2,8.6,4.9*4974",M6EVT,131,12:45:03,52.24239,-0.15077,1390,3,10,23.2,8.6,4.9
"$$VR2SC,133,12:45:31,52.24234,-0.14904,1587,3,9,22.3,7.6,4.9*DBCD",M6EVT,133,12:45:31,52.24234,-0.14904,1587,3,9,22.3,7.6,4.9
"$$VR2SC,136,12:46:13,52.24245,-0.14592,1855,3,10,22.3,6.6,4.9*4163",M6EVT,136,12:46:13,52.24245,-0.14592,1855,3,10,22.3,6.6,4.9
"$$VR2SC,137,12:46:27,52.24262,-0.14512,1953,3,10,22.3,6.6,4.9*14A9",M6EVT,137,12:46:27,52.24262,-0.14512,1953,3,10,22.3,6.6,4.9
"$$VR2SC,138,12:46:41,52.24267,-0.14422,2060,3,9,22.3,5.7,4.9*1A2B",M6EVT,138,12:46:41,52.24267,-0.14422,2060,3,9,22.3,5.7,4.9
