_sentence,_receivers,sentence_id,time,latitude,longitude,altitude
"$$MM2,607,11:23:39,52.583023,00.419467,17735.1*EF39","G0LRD,G4FUI,G8DHE,EDU001,M6XIM,PB0AHX,2E0KPI,F5APQ,G6KWA,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,G8TMV,G0WXI,G6GZH,Northants,PD1ODE",607,11:23:39,52.583023,0.419467,17735.1
"$$MM2,608,11:23:50,52.583145,00.420055,17798.2*72A4","M6XIM,G4FUI,G8DHE,G1DYQ,EDU001,G8TMV,F5APQ,PD1ODE,G8FJG_2,RevSpace,G6KWA,PE1ANS,M6CKD,2E0KPI,G0WXI,G6GZH,Northants,G0LRD",608,11:23:50,52.583145,0.420055,17798.2
"$$MM2,609,11:24:01,52.583443,00.420579,17861.3*5E37","M6XIM,G8DHE,Northants,EDU001,PB0AHX,2E0KPI,F5APQ,G6KWA,M0UPU,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,G8TMV,G0WXI,G6GZH,PD1ODE,G0LRD",609,11:24:01,52.583443,0.420579,17861.3
"$$MM2,610,11:24:12,52.583881,00.421043,17924.2*E0D7","M0UPU,G4FUI,G8DHE,RevSpace,M6XIM,PB0AHX,G8TMV,F5APQ,G6KWA,G8FJG_2,G1DYQ,PE1ANS,G0WXI,G6GZH,PD1ODE,G0LRD",610,11:24:12,52.583881,0.421043,17924.2
"$$MM2,611,11:24:23,52.584476,00.421616,17989.3*2743","M6XIM,G4FUI,G8DHE,EDU001,PB0AHX,2E0KPI,F5APQ,PD1ODE,G6KWA,M0UPU,G8FJG_2,RevSpace,G1DYQ,PE1ANS,G8TMV,G0WXI,G6GZH,Northants,G0LRD",611,11:24:23,52.584476,0.421616,17989.3
"$$MM2,612,11:24:34,52.585018,00.422329,18052.4*5332","M6XIM,G4FUI,G8DHE,Northants,EDU001,PB0AHX,G8TMV,F5APQ,G6KWA,M0UPU,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,2E0KPI,G0WXI,PD1ODE,G0LRD",612,11:24:34,52.585018,0.422329,18052.4
"$$MM2,613,11:24:45,52.585518,00.422884,18117.6*71CB","M6XIM,G4FUI,G8DHE,EDU001,PB0AHX,G8TMV,F5APQ,PD1ODE,G6KWA,M0UPU,G8FJG_2,RevSpace,G1DYQ,PE1ANS,2E0KPI,G0WXI,G6GZH,Northants,G0LRD",613,11:24:45,52.585518,0.422884,18117.6
"$$MM2,615,11:25:07,52.586246,00.424081,18246.4*3534","M6XIM,G4FUI,EDU001,PB0AHX,G8TMV,G0LRD,PD1ODE,G6KWA,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,2E0KPI,G0WXI,G6GZH,Northants,M0UPU",615,11:25:07,52.586246,0.424081,18246.4
"$$MM2,614,11:24:56,52.585884,00.423685,18182.8*8929","M0UPU,G4FUI,EDU001,G8TMV,M6XIM,G6KWA,G8FJG_2,RevSpace,G1DYQ,PE1ANS,2E0KPI,G0WXI,G6GZH,Northants,G0LRD",614,11:24:56,52.585884,0.423685,18182.8
"$$MM2,616,11:25:18,52.586594,00.424624,18311.9*AF09","F5APQ,G4FUI,G1DYQ,EDU001,M6XIM,PB0AHX,2E0KPI,G0LRD,G6KWA,G8FJG_2,RevSpace,PD1ODE,PE1ANS,M6CKD,G8TMV,G0WXI,G6GZH,Northants,M0UPU",616,11:25:18,52.586594,0.424624,18311.9
"$$MM2,617,11:25:29,52.586906,00.424883,18376.6*097B","M0UPU,G4FUI,EDU001,G0LRD,RevSpace,G6KWA,G0WXI,G6GZH,Northants,PD1ODE",617,11:25:29,52.586906,0.424883,18376.6
"$$MM2,619,11:25:51,52.587307,00.426123,18510.5*A999","M6XIM,G4FUI,F5APQ,EDU001,PB0AHX,G8TMV,G0LRD,PD1ODE,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,2E0KPI,G0WXI,G6GZH,Northants,M0UPU",619,11:25:51,52.587307,0.426123,18510.5
"$$MM2,618,11:25:40,52.587208,00.425394,18443.9*AAE7","M6XIM,G8DHE,PB0AHX,2E0KPI,M0UPU,PD1ODE,PE1ANS,M6CKD,G8TMV,G0WXI,G6GZH,F5APQ",618,11:25:40,52.587208,0.425394,18443.9
"$$MM2,620,11:26:02,52.587433,00.426914,18578.6*B69A","M6XIM,G4FUI,G8DHE,EDU001,PB0AHX,2E0KPI,F5APQ,M0UPU,G8FJG_2,G1DYQ,PE1ANS,M6CKD,G8TMV,G0WXI,G6GZH,PD1ODE,G0LRD",620,11:26:02,52.587433,0.426914,18578.6
"$$MM2,621,11:26:13,52.587509,00.427424,18643.7*101E","G0LRD,M6XIM,G4FUI,G8DHE,G1DYQ,PB0AHX,2E0KPI,M0UPU,G8FJG_2,RevSpace,PE1ANS,G8TMV,G0WXI,G6GZH,F5APQ,PD1ODE",621,11:26:13,52.587509,0.427424,18643.7
"$$MM2,622,11:26:24,52.587799,00.427746,18707.8*7729","F5APQ,M6XIM,G4FUI,G8DHE,G1DYQ,EDU001,PB0AHX,2E0KPI,G0LRD,M0UPU,G8FJG_2,RevSpace,PE1ANS,G8TMV,G0WXI,G6GZH,Northants,PD1ODE",622,11:26:24,52.587799,0.427746,18707.8
"$$MM2,623,11:26:35,52.587986,00.427795,18774.4*8A57","M6XIM,G4FUI,G8DHE,Northants,EDU001,PB0AHX,2E0KPI,G0LRD,PD1ODE,G6KWA,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,G8TMV,G0WXI,G6GZH,F5APQ,M0UPU",623,11:26:35,52.587986,0.427795,18774.4
"$$MM2,624,11:26:46,52.588142,00.427737,18844.5*34B6","G0LRD,M6XIM,G4FUI,G1DYQ,EDU001,G8TMV,F5APQ,PD1ODE,G8FJG_2,RevSpace,G6KWA,PE1ANS,M6CKD,2E0KPI,G0WXI,G6GZH,Northants,M0UPU",624,11:26:46,52.588142,0.427737,18844.5
"$$MM2,625,11:26:57,52.588257,00.427906,18915.1*8C6A","G0LRD,F5APQ,G4FUI,G1DYQ,EDU001,PB0AHX,G8TMV,M6XIM,PD1ODE,G8FJG_2,RevSpace,G6KWA,PE1ANS,M6CKD,G0WXI,G6GZH,Northants,M0UPU",625,11:26:57,52.588257,0.427906,18915.1
"$$MM2,626,11:27:08,52.588337,00.427892,18980.6*A170","M6XIM,2E0KPI,M0UPU,G8FJG_2,G6KWA,PE1ANS,G0WXI,Northants",626,11:27:08,52.588337,0.427892,18980.6
"$$MM2,627,11:27:19,52.588356,00.427608,19045.9*FEBA","F5APQ,G4FUI,G8DHE,Northants,EDU001,PB0AHX,G8TMV,G0LRD,G6KWA,G8FJG_2,RevSpace,G1DYQ,PE1ANS,G0WXI,G6GZH,PD1ODE,M0UPU",627,11:27:19,52.588356,0.427608,19045.9
"$$MM2,628,11:27:30,52.588440,00.427709,19109.7*3F5F","F5APQ,G4FUI,G8DHE,EDU001,M6XIM,PB0AHX,2E0KPI,G0LRD,G6KWA,G8FJG_2,RevSpace,G1DYQ,PE1ANS,G8TMV,G0WXI,G6GZH,PD1ODE,M0UPU",628,11:27:30,52.58844,0.427709,19109.7
"$$MM2,629,11:27:41,52.588570,00.427913,19172.6*FD06","G0LRD,G4FUI,G8DHE,G1DYQ,RevSpace,M6XIM,PB0AHX,G8TMV,F5APQ,G8FJG_2,G6KWA,PE1ANS,M6CKD,G0WXI,G6GZH,Northants,PD1ODE",629,11:27:41,52.58857,0.427913,19172.6
"$$MM2,631,11:28:03,52.589191,00.428379,19302.9*9354","M0UPU,G4FUI,G8DHE,G1DYQ,G8TMV,F5APQ,G8FJG_2,RevSpace,2E0KPI,G0WXI,G6GZH,PD1ODE,G0LRD",631,11:28:03,52.589191,0.428379,19302.9
"$$MM2,630,11:27:52,52.588871,00.428094,19236.2*EA9B","M6XIM,G4FUI,G8DHE,G1DYQ,EDU001,PB0AHX,G8TMV,F5APQ,M0UPU,G8FJG_2,RevSpace,PE1ANS,G0WXI,G6GZH,PD1ODE,G0LRD",630,11:27:52,52.588871,0.428094,19236.2
"$$MM2,632,11:28:14,52.589336,00.428627,19368.8*CA4A","M0UPU,G4FUI,G8DHE,G1DYQ,EDU001,PB0AHX,2E0KPI,F5APQ,PD1ODE,G8FJG_2,RevSpace,G6KWA,PE1ANS,G8TMV,G0WXI,G6GZH,Northants,G0LRD",632,11:28:14,52.589336,0.428627,19368.8
"$$MM2,633,11:28:25,52.589622,00.428961,19433.0*DC11","G4FUI,RevSpace",633,11:28:25,52.589622,0.428961,19433.0
"$$MM2,634,11:28:36,52.589962,00.429308,19499.5*1458","F5APQ,G4FUI,G8DHE,G1DYQ,G6KWA,G8TMV,M0UPU,G8FJG_2,RevSpace,PE1ANS,2E0KPI,G0WXI,G6GZH,Northants,PD1ODE",634,11:28:36,52.589962,0.429308,19499.5
"$$MM2,636,11:28:58,52.590828,00.429949,19634.8*9C58","M6XIM,G4FUI,G1DYQ,G6KWA,PB0AHX,2E0KPI,F5APQ,M0UPU,G8FJG_2,RevSpace,PE1ANS,G8TMV,G0WXI,G6GZH,PD1ODE,G0LRD",636,11:28:58,52.590828,0.429949,19634.8
"$$MM2,635,11:28:47,52.590282,00.429560,19566.0*61C9","G0LRD,F5APQ,G4FUI,G8DHE,Northants,EDU001,PB0AHX,2E0KPI,M6XIM,G6KWA,G8FJG_2,RevSpace,G1DYQ,PE1ANS,G8TMV,G0WXI,G6GZH,PD1ODE,M0UPU",635,11:28:47,52.590282,0.42956,19566.0
"$$MM2,637,11:29:09,52.591370,00.430254,19699.3*6EF9","F5APQ,G4FUI,PB0AHX,2E0KPI,M6XIM,G8FJG_2,G1DYQ,PE1ANS,M6CKD,G8TMV,G0WXI,Northants",637,11:29:09,52.59137,0.430254,19699.3
"$$MM2,638,11:29:20,52.591763,00.430540,19767.3*2FEB","F5APQ,G4FUI,G8DHE,G1DYQ,PB0AHX,2E0KPI,M0UPU,G8FJG_2,RevSpace,PD1ODE,PE1ANS,G8TMV,G0WXI,G6GZH,Northants,G0LRD",638,11:29:20,52.591763,0.43054,19767.3
"$$MM2,639,11:29:31,52.592152,00.430703,19832.6*9A76","G0LRD,F5APQ,G4FUI,G8DHE,Northants,EDU001,PB0AHX,2E0KPI,M6XIM,G8FJG_2,RevSpace,G1DYQ,PE1ANS,M6CKD,G0WXI,G6GZH,PD1ODE,M0UPU",639,11:29:31,52.592152,0.430703,19832.6
"$$MM2,644,11:30:26,52.593555,00.431000,20179.2*C9E4","M6XIM,G8DHE,PB0AHX,2E0KPI,F5APQ,G8FJG_2,G1DYQ,PE1ANS,G0WXI",644,11:30:26,52.593555,0.431,20179.2
"$$MM2,645,11:30:37,52.593811,00.431453,20252.5*0AB1","F5APQ,G1DYQ,M6XIM,PB0AHX,G8TMV,G0LRD,G8FJG_2,PD1ODE,PE1ANS,2E0KPI,G0WXI,M0UPU",645,11:30:37,52.593811,0.431453,20252.5
"$$MM2,646,11:30:48,52.593945,00.432044,20325.9*4687","F5APQ,G4FUI,G1DYQ,EDU001,G8TMV,G0LRD,G8FJG_2,RevSpace,G0WXI,G6GZH,PD1ODE,M0UPU",646,11:30:48,52.593945,0.432044,20325.9
"$$MM2,647,11:30:59,52.594013,00.432160,20399.5*67ED","F5APQ,G4FUI,G8DHE,G1DYQ,PB0AHX,G8TMV,M0UPU,G8FJG_2,G6KWA,PE1ANS,G0WXI,G6GZH,PD1ODE,G0LRD",647,11:30:59,52.594013,0.43216,20399.5
"$$MM2,648,11:31:10,52.593967,00.432296,20471.9*C495","M0CJM,F5APQ,G4FUI,G8DHE,G6KWA,M6XIM,PB0AHX,G8TMV,M0UPU,G0LRD,G8FJG_2,RevSpace,G1DYQ,PE1ANS,2E0KPI,G0WXI,G6GZH,Northants,PD1ODE",648,11:31:10,52.593967,0.432296,20471.9
"$$MM2,649,11:31:21,52.594063,00.432371,20542.9*B0B4","M0CJM,F5APQ,G4FUI,RevSpace,PB0AHX,2E0KPI,M6XIM,G8FJG_2,G1DYQ,PE1ANS,G0WXI,G6GZH,G0LRD",649,11:31:21,52.594063,0.432371,20542.9
"$$MM2,652,11:31:54,52.594105,00.433776,20754.6*DD50","G8DHE,PB0AHX,2E0KPI,F5APQ,G8FJG_2,G1DYQ,PE1ANS,G0WXI,G6GZH",652,11:31:54,52.594105,0.433776,20754.6
