_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,battery
"$$X0,337,12:17:22,52.29140,-0.02323,2273,8,4.71*BA1C","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI,G6GZH",337,12:17:22,52.2914,-0.02323,2273,8,4.71
"$$X0,336,12:17:10,52.28975,-0.02553,2217,8,4.71*C880","amell,G8KNN,G8KHW,G8FJG_1,G0WXI,G6GZH",336,12:17:10,52.28975,-0.02553,2217,8,4.71
"$$X0,338,12:17:34,52.29331,-0.02074,2340,8,4.71*5665","amell,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,G6GZH",338,12:17:34,52.29331,-0.02074,2340,8,4.71
"$$X0,340,12:17:58,52.29690,-0.01543,2470,8,4.71*5812","amell,G0WXI,G8KNN,G8KHW,G8FJG_1",340,12:17:58,52.2969,-0.01543,2470,8,4.71
"$$X0,339,12:17:46,52.29516,-0.01810,2399,7,4.71*408F","amell,G0WXI,G8KNN,G8KHW,G8FJG_1",339,12:17:46,52.29516,-0.0181,2399,7,4.71
"$$X0,341,12:18:10,52.29862,-0.01232,2530,8,4.71*FB87","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI,G6GZH",341,12:18:10,52.29862,-0.01232,2530,8,4.71
"$$X0,342,12:18:22,52.30017,-0.00949,2598,7,4.71*7E88","amell,G0WXI,G8KNN,G8KHW,G8FJG_1",342,12:18:22,52.30017,-0.00949,2598,7,4.71
"$$X0,343,12:18:34,52.30209,-0.00684,2681,8,4.71*30CE","amell,G0WXI,G8KNN,G8KHW,G8FJG_1",343,12:18:34,52.30209,-0.00684,2681,8,4.71
"$$X0,344,12:18:46,52.30403,-0.00432,2747,7,4.71*078E","amell,G0WXI,G8KNN,G8KHW,G8FJG_1",344,12:18:46,52.30403,-0.00432,2747,7,4.71
"$$X0,345,12:18:58,52.30584,-0.00172,2818,8,4.71*5E73","amell,G0WXI,G8KNN,G8KHW,G8FJG_1",345,12:18:58,52.30584,-0.00172,2818,8,4.71
"$$X0,346,12:19:10,52.30747,0.00071,2875,8,4.71*048F","amell,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI",346,12:19:10,52.30747,0.00071,2875,8,4.71
